Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Chanice Sumners,F,SBD,Raw,25,24-34,24-39,FR-O,62.2,63,117.5,122.5,-125,,122.5,75,80,82.5,,82.5,155,167.5,175,,175,380,10,411.90,412.09,363.94,83.83,Yes,England,WM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Katherine Cleary,F,SBD,Raw,23.5,24-34,24-39,FR-O,74.2,76,140,150,157.5,,157.5,85,90,-92.5,,90,147.5,157.5,-165,,157.5,405,22,396.71,387.63,341.11,80.77,Yes,England,SW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Aimee Jarvie,F,SBD,Raw,,,,FR-O,61.5,63,142.5,152.5,157.5,,157.5,70,75,77.5,,77.5,160,167.5,172.5,,172.5,407.5,7,444.81,445.75,393.72,90.57,Yes,Scotland,,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
James Adcock,M,SBD,Raw,25,24-34,24-39,MR-O,92.6,93,267.5,287.5,295,,295,170,177.5,182.5,,182.5,320,-340,-352.5,,320,797.5,6,508.47,502.01,480.56,104.55,Yes,England,SE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Ziana Azariah,F,SBD,Raw,27,24-34,24-39,FR-O,83.9,84,207.5,220,225,,225,102.5,107.5,110,,110,240,255,265,,265,600,1,552.40,535.36,468.08,113.36,Yes,England,SW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Ben Poole,M,SBD,Raw,37.5,35-39,24-39,MR-O,73.9,74,217.5,227.5,232.5,,232.5,127.5,135,-137.5,,135,225,240,245,,245,612.5,17,443.63,441.00,426.38,89.98,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Chris Gallagher,M,SBD,Raw,,,,MR-O,82.9,83,225,-237.5,-242.5,,225,150,170,-180,,170,230,242.5,-245,,242.5,637.5,16,430.66,425.84,409.65,88.30,Yes,England,EM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Katie Roberts,F,SBD,Raw,,,,FR-O,62.1,63,127.5,135,142.5,,142.5,105,110,112.5,,112.5,125,130,132.5,,132.5,387.5,8,420.45,420.74,371.58,85.58,Yes,Wales,,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Adejoke Adetayo,F,SBD,Raw,33,24-34,24-39,FR-O,56.3,57,177.5,188,-191,,188,77.5,85,87.5,,87.5,192.5,202.5,-217.5,,202.5,478,3,552.11,560.07,495.35,113.18,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Jessie Lee,F,SBD,Raw,26.5,24-34,24-39,FR-O,46.1,47,125,130.5,-133,,130.5,60,65,67.5,,67.5,152.5,160.5,165,,165,363,1,482.62,494.99,441.95,102.60,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
