Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Mehdi Mafi Gholami,M,SBD,Raw,39.5,35-39,40-49,Open,147.2,120+,337.5,-350,355,,355,192.5,-202.5,-202.5,,192.5,315,330,-342.5,,330,877.5,7,474.29,486.81,460.94,93.80,Yes,Iran,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Mehdi Tahmasebi Boldaji,M,SBD,Raw,30.5,24-34,24-39,Open,92.65,93,-282.5,-282.5,282.5,,282.5,190,-197.5,-197.5,,190,307.5,325,330,,330,802.5,8,511.52,505.03,483.44,105.18,Yes,Iran,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Mehrdad Akbari,M,SBD,Raw,33.5,24-34,24-39,Open,99.9,105,265,-277.5,280,,280,167.5,177.5,182.5,,182.5,267.5,280,292.5,,292.5,755,15,464.92,459.67,439.04,95.42,Yes,Iran,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Meghan Scanlon,F,SBD,Raw,34,24-34,24-39,Open,61.55,63,170,180,-185,,180,125,-132.5,-132.5,,125,190,200,-205,,200,505,1,550.96,552.06,487.61,112.19,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Brody Cochrane,M,SBD,Raw,30.5,24-34,24-39,Open,92,93,235,-245,245,,245,190,197.5,-205,,197.5,277.5,295,302.5,,302.5,745,21,476.50,470.44,450.45,97.98,Yes,Australia,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Viola Jokudu,F,SBD,Raw,22.5,20-23,19-23,Open,68.3,69,140,-147.5,147.5,,147.5,-85,-85,85,,85,180,192.5,-210,,192.5,425,15,435.81,430.14,379.36,88.55,Yes,Australia,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Jackie Caldona,F,SBD,Raw,32.5,24-34,24-39,Open,46.9,47,-102.5,102.5,107.5,,107.5,60,62.5,65,,65,117.5,125,-132.5,,125,297.5,8,390.51,400.72,357.27,82.64,Yes,Australia,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Tom Chaplin,M,SBD,Raw,29,24-34,24-39,Open,100.7,105,260,-270,270,,270,175,185,187.5,,187.5,275,295,300,,300,757.5,14,464.85,459.73,439.05,95.38,Yes,Australia,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Kavwa Sichone,M,SBD,Raw,32.5,24-34,24-39,Open,72.85,74,235,247.5,252.5,,252.5,167.5,-175,-175,,167.5,262.5,275,280,,280,700,8,511.78,509.21,492.63,103.61,Yes,New Zealand,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Timothy Monigatti,M,SBD,Raw,25,24-34,24-39,Open,82.4,83,-280,280,-295,,280,170,175,180,,180,305,-330,-340,,305,765,5,518.56,512.85,493.49,106.29,Yes,New Zealand,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Carolina Dillen,F,SBD,Raw,39,35-39,24-39,Open,67.7,69,145,-155,-155,,145,85,87.5,-90,,87.5,160,172.5,180,,180,412.5,16,425.14,420.12,370.58,86.38,Yes,New Zealand,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Joyce Gail Reboton,F,SBD,Raw,29.5,24-34,24-39,Open,74.35,76,200,-207.5,-207.5,,200,105,107.5,-110,,107.5,-202.5,202.5,207.5,,207.5,515,6,503.92,492.27,433.17,102.61,Yes,Philippines,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Yuki Kashima,M,SBD,Raw,25,24-34,24-39,Open,65.9,66,205,217.5,-222.5,,217.5,152.5,157.5,-162.5,,157.5,220,232.5,-240,,232.5,607.5,10,476.53,477.60,464.12,94.78,Yes,Australia,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Rachele Griffin,F,SBD,Raw,27.5,24-34,24-39,Open,67.95,69,140,150,-155,,150,82.5,87.5,-90,,87.5,170,177.5,187.5,,187.5,425,14,437.09,431.71,380.78,88.81,Yes,Australia,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Pei Boccanfuso,F,SBD,Raw,33.5,24-34,24-39,Open,50.8,52,97.5,102.5,105,,105,62.5,-67.5,67.5,,67.5,130,137.5,-150,,137.5,310,13,384.09,393.46,349.10,79.89,Yes,Australia,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Leonardo Sucitra,M,SBD,Raw,26,24-34,24-39,Open,73.6,74,250,265,-272.5,,265,147.5,152.5,155,,155,287.5,-300,-300,,287.5,707.5,6,513.79,510.88,494.03,104.16,Yes,Australia,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Chris Aslan,M,SBD,Raw,29.5,24-34,24-39,Open,104.25,105,245,255,257.5,,257.5,162.5,-167.5,-167.5,,162.5,250,-265,-265,,250,670,18,405.25,401.38,383.26,83.00,Yes,Australia,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Nicole Smith,F,SBD,Raw,28.5,24-34,24-39,Open,75.6,76,170,177.5,182.5,,182.5,102.5,-107.5,-107.5,,102.5,162.5,172.5,-177.5,,172.5,457.5,14,443.73,432.77,380.57,90.42,Yes,New Zealand,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Jonathan Cayco,M,SBD,Raw,29.5,24-34,24-39,Open,92.55,93,275,290,300,,300,222.5,232.5,238.5,,238.5,317.5,335,-350,,335,873.5,3,557.07,549.99,526.50,114.54,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Joshua Wright #1,M,SBD,Raw,36,35-39,24-39,Open,71.1,74,225,235,242.5,,242.5,170,177.5,182.5,,182.5,272.5,292.5,305,,305,730,3,542.50,540.64,523.58,109.43,Yes,Germany,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Jeisson Carvalho,M,SBD,Raw,37.5,35-39,24-39,Open,118.05,120,-210,210,220,,220,170,-175,175,,175,275,287.5,300,,300,695,13,401.35,401.14,384.29,81.37,Yes,Cabo Verde,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Mostafa Hazem,M,SBD,Raw,25,24-34,24-39,Open,102.7,105,232.5,245,250,,250,182.5,-192.5,-192.5,,182.5,270,292.5,-300,,292.5,725,17,441.23,436.71,417.00,90.44,Yes,Egypt,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Antoinette Kriel,F,SBD,Raw,50.5,50-54,50-59,Open,56.6,57,115,122.5,130,,130,75,77.5,-80,,77.5,145,155,167.5,,167.5,375,11,431.62,437.56,386.95,88.43,Yes,South Africa,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Marcel Vorster,M,SBD,Raw,28,24-34,24-39,Open,65.9,66,200,210,215,,215,130,135,137.5,,137.5,200,-212.5,-212.5,,200,552.5,15,433.39,434.36,422.10,86.20,Yes,South Africa,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Sorah Garber,F,SBD,Raw,40.5,40-44,40-49,Open,59.6,63,130,140,-145,,140,-87.5,-87.5,-87.5,,,150,160,-167.5,,160,,DQ,,,,,Yes,South Africa,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Maude Mashonganyika,F,SBD,Raw,33.5,24-34,24-39,Open,68.2,69,155,160,-167.5,,160,65,67.5,-70,,67.5,170,175,-177.5,,175,402.5,17,413.08,407.79,359.66,83.94,Yes,Zimbabwe,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Daniella da Silva,F,SBD,Raw,24.5,24-34,24-39,Open,61.7,63,130,-142.5,142.5,,142.5,65,67.5,-70,,67.5,160,170,-172.5,,170,380,16,413.96,414.63,366.22,84.28,Yes,South Africa,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Juliet Molife,F,SBD,Raw,19,18-19,19-23,Open,55.25,57,-90,-90,90,,90,40,42.5,-47.5,,42.5,120,125,130,,130,262.5,17,307.01,312.14,276.18,63.06,Yes,Zimbabwe,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
